tipus_vi,categoria_vi,aliment,categoria_aliment,cuina,qualitat_maridatge,etiqueta_qualitat,descripcio
Syrah/Shiraz,Red,grilled ribeye,Carn vermella,Greek,2,Pobre,Avaluació heurística del maridatge.
Torrontés,White,Sichuan noodles,Spicy,Thai,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,fondue,Cheese,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Sauvignon Blanc,White,oysters,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.
Port,Fortified,cheese platter,Cheese,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,shrimp scampi,Seafood,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,pork tenderloin,Pork,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Albariño,White,alfredo pasta,Creamy,American BBQ,2,Pobre,Too lean for creamy dish.
Ice Wine,Postres,stir-fried tofu,Vegetarian,Japanese,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,fish tacos,Seafood,German,5,Excel·lent,Crisp acidity suits seafood.
Sauternes,Postres,bacon burger,Pork,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,alfredo pasta,Creamy,Thai,2,Pobre,Too lean for creamy dish.
Albariño,White,shrimp scampi,Seafood,German,5,Excel·lent,Crisp acidity suits seafood.
Syrah/Shiraz,Red,bbq brisket,Carn vermella,Vietnamita,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Gewürztraminer,White,Sichuan noodles,Spicy,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Nebbiolo,Red,cream of mushroom soup,Creamy,Indian,1,Terrible,Too lean for creamy dish.
Sauternes,Postres,roast chicken with herbs,Aviram,Italian,3,Neutral,Heavy wine can dominate poultry.
Sauvignon Blanc,White,grilled salmon,Seafood,Francesa,4,Bo,Crisp acidity suits seafood.
Albariño,White,grilled salmon,Seafood,Vietnamita,5,Excel·lent,Crisp acidity suits seafood.
Chardonnay,White,pork tenderloin,Pork,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,oysters,Seafood,Greek,2,Pobre,Tannic reds clash with delicate seafood.
Cava,Sparkling,olives and cheese,Aperitiu salat,Mexicana,4,Bo,Avaluació heurística del maridatge.
Albariño,White,grilled salmon,Seafood,Francesa,4,Bo,Crisp acidity suits seafood.
Riesling (dry),White,Indian vindaloo,Spicy,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Merlot,Red,pork tenderloin,Pork,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Port,Fortified,cheese platter,Cheese,German,2,Pobre,Avaluació heurística del maridatge.
Champagne,Sparkling,fish tacos,Seafood,Indian,4,Bo,Crisp acidity suits seafood.
Port,Fortified,cheesecake,Postres,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Tempranillo,Red,fondue,Cheese,Francesa,2,Pobre,Avaluació heurística del maridatge.
Riesling (dry),White,Indian vindaloo,Spicy,Argentinian,4,Bo,Off-dry sweetness calms spice.
Pinot Noir,Red,gazpacho,Acidic,American BBQ,3,Neutral,El vi àcid equilibra el menjar àcid.
Grüner Veltliner,White,stir-fried tofu,Vegetarian,German,2,Pobre,Avaluació heurística del maridatge.
Grenache,Red,pork tenderloin,Pork,Moroccan,4,Bo,Light/medium red suits richer poultry/pork.
Pinot Noir,Red,mushroom risotto,Vegetarian,Italian,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Creamy,American BBQ,1,Terrible,Too lean for creamy dish.
Nebbiolo,Red,Sichuan noodles,Spicy,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,caprese salad,Acidic,Italian,4,Bo,Avaluació heurística del maridatge.
Riesling (dry),White,Sichuan noodles,Spicy,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,salsitxa fumada,Barbacoa fumada,Mexicana,4,Bo,Avaluació heurística del maridatge.
Chardonnay,White,mac and cheese,Cheese,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Grüner Veltliner,White,caprese salad,Acidic,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,mushroom risotto,Vegetarian,German,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,bacon burger,Pork,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,fish tacos,Seafood,Italian,3,Neutral,Crisp acidity suits seafood.
Syrah/Shiraz,Red,salsitxa fumada,Barbacoa fumada,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,Thai curry,Spicy,Thai,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,grilled salmon,Seafood,Vietnamita,5,Excel·lent,Crisp acidity suits seafood.
Madeira,Fortified,mac and cheese,Cheese,Korean,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,chicken curry,Aviram,Middle Eastern,4,Bo,Lighter wines fit poultry.
Merlot,Red,bacon burger,Pork,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,salsitxa fumada,Barbacoa fumada,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,citrus salad,Acidic,American BBQ,4,Bo,El vi àcid equilibra el menjar àcid.
Gamay (Beaujolais),Red,shrimp scampi,Seafood,German,2,Pobre,Tannic reds clash with delicate seafood.
Malbec,Red,bbq brisket,Carn vermella,Korean,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Cabernet Sauvignon,Red,bbq brisket,Carn vermella,American BBQ,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Albariño,White,vegetable curry,Vegetarian,Greek,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,bbq ribs,Barbacoa fumada,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Madeira,Fortified,mac and cheese,Cheese,Japanese,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,grilled burger,Barbacoa fumada,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,mushroom risotto,Vegetarian,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Pork,Ethiopian,2,Pobre,Too lean for creamy dish.
Ice Wine,Postres,pastís de llimona,Postres,Japanese,5,Excel·lent,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Madeira,Fortified,mac and cheese,Cheese,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,cheese platter,Cheese,Japanese,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,cheese platter,Cheese,German,4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,Sichuan noodles,Spicy,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Thai curry,Spicy,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,carbonara,Creamy,Indian,4,Bo,Richer body matches creamy textures.
Chardonnay,White,chicken curry,Aviram,Argentinian,4,Bo,Lighter wines fit poultry.
Sangiovese,Red,ànec a la taronja,Aviram,Italian,4,Bo,Light/medium red suits richer poultry/pork.
Nebbiolo,Red,xai rostit,Carn vermella,Moroccan,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Cabernet Sauvignon,Red,bbq brisket,Carn vermella,Indian,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Syrah/Shiraz,Red,cheese platter,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,fish tacos,Seafood,Italian,4,Bo,Crisp acidity suits seafood.
Sauvignon Blanc,White,vegetable curry,Vegetarian,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Pinot Noir,Red,gazpacho,Acidic,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,oysters,Seafood,Korean,1,Terrible,Tannic reds clash with delicate seafood.
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Japanese,2,Pobre,Avaluació heurística del maridatge.
Grüner Veltliner,White,oysters,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.
Port,Fortified,cheese platter,Cheese,Greek,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,vegetable curry,Vegetarian,Japanese,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,grilled burger,Barbacoa fumada,Indian,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,vegetable curry,Vegetarian,Greek,2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,bacon burger,Pork,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Torrontés,White,Indian vindaloo,Spicy,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,taula d'embotits,Aperitiu salat,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Sichuan noodles,Spicy,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,carbonara,Pork,Espanyola,2,Pobre,Too lean for creamy dish.
Syrah/Shiraz,Red,bbq ribs,Barbacoa fumada,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,shrimp scampi,Seafood,Italian,5,Excel·lent,Crisp acidity suits seafood.
Nebbiolo,Red,grilled ribeye,Carn vermella,Thai,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,mac and cheese,Cheese,Middle Eastern,2,Pobre,Avaluació heurística del maridatge.
Albariño,White,shrimp scampi,Seafood,Vietnamita,4,Bo,Crisp acidity suits seafood.
Sangiovese,Red,chicken curry,Aviram,Italian,3,Neutral,Heavy wine can dominate poultry.
Madeira,Fortified,fondue,Cheese,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,Thai curry,Spicy,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Sichuan noodles,Spicy,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,vegetable curry,Vegetarian,German,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,caprese salad,Acidic,Francesa,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,bbq ribs,Barbacoa fumada,American BBQ,4,Bo,Avaluació heurística del maridatge.
Malbec,Red,bbq ribs,Barbacoa fumada,Mexicana,4,Bo,Avaluació heurística del maridatge.
Merlot,Red,bacon burger,Pork,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,chicken curry,Aviram,Francesa,3,Neutral,Heavy wine can dominate poultry.
Nebbiolo,Red,beef stew,Carn vermella,Indian,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Thai curry,Spicy,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Malbec,Red,salsitxa fumada,Barbacoa fumada,Indian,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,bbq brisket,Carn vermella,Korean,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Grüner Veltliner,White,mushroom risotto,Vegetarian,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Sauvignon Blanc,White,shrimp scampi,Seafood,Middle Eastern,4,Bo,Crisp acidity suits seafood.
Grenache,Red,mixed nuts,Aperitiu salat,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,salsitxa fumada,Barbacoa fumada,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Zinfandel,Red,grilled burger,Barbacoa fumada,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,gazpacho,Acidic,American BBQ,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Chardonnay,White,mac and cheese,Cheese,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,cheese platter,Cheese,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Postres,cheesecake,Postres,Vietnamita,3,Neutral,Sweet/sparkling pairs with dessert.
Riesling (dry),White,Thai curry,Spicy,Thai,2,Pobre,Avaluació heurística del maridatge.
Grenache,Red,bacon burger,Pork,Middle Eastern,4,Bo,Avaluació heurística del maridatge.
Champagne,Sparkling,grilled salmon,Seafood,Italian,5,Excel·lent,Idealized perfect pairing example for contrast.
Malbec,Red,salsitxa fumada,Barbacoa fumada,Korean,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Sichuan noodles,Spicy,Indian,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,mushroom risotto,Vegetarian,Italian,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,Indian vindaloo,Spicy,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,cream of mushroom soup,Creamy,Moroccan,1,Terrible,Too lean for creamy dish.
Nebbiolo,Red,xai rostit,Carn vermella,Argentinian,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Sauternes,Postres,chicken curry,Aviram,German,3,Neutral,Heavy wine can dominate poultry.
Albariño,White,chocolate mousse,Postres,German,2,Pobre,Dry table wine clashes with dessert sweetness.
Albariño,White,vegetable curry,Vegetarian,Korean,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,bbq ribs,Barbacoa fumada,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,Indian vindaloo,Spicy,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,bbq brisket,Carn vermella,Thai,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Sauternes,Postres,sorbet,Postres,Moroccan,5,Excel·lent,Sweet/sparkling pairs with dessert.
Merlot,Red,mixed nuts,Aperitiu salat,Italian,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,stir-fried tofu,Vegetarian,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,stir-fried tofu,Vegetarian,Francesa,2,Pobre,Avaluació heurística del maridatge.
Cava,Sparkling,olives and cheese,Aperitiu salat,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,stir-fried tofu,Vegetarian,Japanese,4,Bo,Avaluació heurística del maridatge.
Chardonnay,White,bacon burger,Pork,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,bbq brisket,Carn vermella,Thai,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Madeira,Fortified,chocolate mousse,Postres,Thai,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,cheesecake,Postres,Mexicana,3,Neutral,Dry table wine clashes with dessert sweetness.
Sangiovese,Red,citrus salad,Acidic,Thai,4,Bo,El vi àcid equilibra el menjar àcid.
Syrah/Shiraz,Red,xai rostit,Carn vermella,Mexicana,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Torrontés,White,fondue,Cheese,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Riesling (dry),White,Indian vindaloo,Spicy,Thai,5,Excel·lent,Off-dry sweetness calms spice.
Pinot Noir,Red,roast chicken with herbs,Aviram,German,5,Excel·lent,Lighter wines fit poultry.
Madeira,Fortified,mac and cheese,Cheese,Francesa,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,olives and cheese,Aperitiu salat,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,salsitxa fumada,Barbacoa fumada,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,ànec a la taronja,Aviram,Thai,2,Pobre,Avaluació heurística del maridatge.
Zinfandel,Red,grilled burger,Barbacoa fumada,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,bacon burger,Pork,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,roast chicken with herbs,Aviram,Italian,2,Pobre,Heavy wine can dominate poultry.
Port,Fortified,chocolate mousse,Postres,Middle Eastern,2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,fondue,Cheese,German,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,roast chicken with herbs,Aviram,German,2,Pobre,Heavy wine can dominate poultry.
Port,Fortified,mac and cheese,Cheese,Italian,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,vegetable curry,Vegetarian,Espanyola,4,Bo,Avaluació heurística del maridatge.
Gewürztraminer,White,Indian vindaloo,Spicy,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,vegetable curry,Vegetarian,German,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,shrimp scampi,Seafood,Vietnamita,1,Terrible,Tannic reds clash with delicate seafood.
Champagne,Sparkling,mixed nuts,Aperitiu salat,Indian,2,Pobre,Avaluació heurística del maridatge.
Viognier,White,pork tenderloin,Pork,Francesa,2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,caprese salad,Acidic,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Sichuan noodles,Spicy,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Viognier,White,carbonara,Pork,Middle Eastern,4,Bo,Richer body matches creamy textures.
Grüner Veltliner,White,chocolate mousse,Postres,Greek,1,Terrible,Dry table wine clashes with dessert sweetness.
Malbec,Red,beef stew,Carn vermella,Indian,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,beef stew,Carn vermella,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,bbq ribs,Barbacoa fumada,Indian,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Pork,Moroccan,2,Pobre,Too lean for creamy dish.
Zinfandel,Red,grilled burger,Barbacoa fumada,Moroccan,4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,xai rostit,Carn vermella,Espanyola,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Champagne,Sparkling,mixed nuts,Aperitiu salat,Thai,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,citrus salad,Acidic,Espanyola,4,Bo,El vi àcid equilibra el menjar àcid.
Chardonnay,White,carbonara,Creamy,Japanese,4,Bo,Richer body matches creamy textures.
Sauvignon Blanc,White,shrimp scampi,Seafood,American BBQ,3,Neutral,Crisp acidity suits seafood.
Chardonnay,White,carbonara,Pork,Korean,3,Neutral,Richer body matches creamy textures.
Grüner Veltliner,White,mushroom risotto,Vegetarian,Italian,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,carbonara,Pork,Argentinian,2,Pobre,Too lean for creamy dish.
Cava,Sparkling,xai rostit,Carn vermella,Argentinian,1,Terrible,Delicate wine overwhelmed by red meat.
Cabernet Sauvignon,Red,xai rostit,Carn vermella,Mexicana,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Malbec,Red,salsitxa fumada,Barbacoa fumada,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,beef stew,Carn vermella,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,cheese platter,Cheese,Francesa,1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Postres,bacon burger,Pork,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,mushroom risotto,Vegetarian,German,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,gazpacho,Acidic,Japanese,4,Bo,El vi àcid equilibra el menjar àcid.
Albariño,White,shrimp scampi,Seafood,Italian,5,Excel·lent,Crisp acidity suits seafood.
Syrah/Shiraz,Red,bbq brisket,Carn vermella,American BBQ,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Syrah/Shiraz,Red,grilled burger,Barbacoa fumada,American BBQ,4,Bo,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,Moroccan,1,Terrible,Heavy wine can dominate poultry.
Sauternes,Postres,sorbet,Postres,Moroccan,4,Bo,Sweet/sparkling pairs with dessert.
